Date,Sensor,temperature,humidity,lighting,co2,pm,tvoc
2019-08-15 13:00:00,a200000020,22,44,407,,,
2019-08-15 13:00:00,a200000017,20.9,46,23,,,
2019-08-15 13:00:00,a200000018,21.8,44,435,,,
2019-08-15 13:00:00,a300000004,21.2,49,121,443,,
2019-08-15 13:00:00,a200000016,21.5,44,1117,,,
2019-08-15 13:00:00,a200000014,21.3,43,451,,,
2019-08-15 13:00:00,a200000023,22.2,42,341,,,
2019-08-15 13:00:00,a300000006,21.2,41,353,460,,
2019-08-15 13:00:00,a200000022,22.8,42,1062,,,
2019-08-15 13:00:00,b100000004,21.59,47.68,,,0.1429,163.6
2019-08-15 13:00:00,a200000021,21.3,44,398,,,
2019-08-15 13:00:00,a200000025,23,38,868,,,
2019-08-15 13:00:00,a200000024,24.5,37,598,,,
2019-08-15 13:00:00,a200000019,21.8,43,547,,,
2019-08-15 13:00:00,b100000003,22.33,46.29,,,0.1,145.9
2019-08-15 13:00:00,a300000005,22.1,47,472,387,,
2019-08-15 13:00:00,a300000007,21.5,45,810,395,,
2019-08-15 13:00:00,a300000008,21.8,42,178,470,,
2019-08-15 13:00:00,a200000015,23.1,43,140,,,
2019-08-15 13:10:00,a300000007,21.6,44,933,,,
2019-08-15 13:10:00,a200000018,21.8,44,406,,,
2019-08-15 13:10:00,a200000025,23.2,37,1317,,,
2019-08-15 13:10:00,a200000021,21.4,43,280,,,
2019-08-15 13:10:00,a200000015,23.2,42,132,,,
2019-08-15 13:10:00,b100000004,21.59,,,,,
2019-08-15 13:10:00,a200000020,22.2,43,918,,,
2019-08-15 13:10:00,a300000006,21.2,40,372,,,
2019-08-15 13:10:00,a200000024,24.9,36,728,,,
2019-08-15 13:10:00,a300000008,22.05,41,311.5,,,
2019-08-15 13:10:00,a200000023,22.3,42,376,,,
2019-08-15 13:10:00,b100000003,22.38,,,,,
2019-08-15 13:10:00,a300000005,22.2,47,835,,,
2019-08-15 13:10:00,a200000019,21.9,43,574,,,
